Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1896-01-01,Athens,Fencing,Fencing,""GRAVELOTTE, Eugène-Henri"",Men,Foil Individual,Gold,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""CALLOT, Henri"",Men,Foil Individual,Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""PYRGOS, Leonidas"",Men,""Foil, Masters"",Gold,Greece,GRE,10823732.0,18002.230577668797,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""PERRONNET, Maurice"",Men,""Foil, Masters"",Silver,France,FRA,66808385.0,36205.5681017036,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""NIELSEN, Holger"",Men,Sabre Individual,Bronze,Denmark,DEN,5676002.0,51989.2934712354,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""GEORGIADIS, Ioannis"",Men,Sabre Individual,Gold,Greece,GRE,10823732.0,18002.230577668797,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Fencing,Fencing,""KARAKALOS, Telemachos"",Men,Sabre Individual,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
"1896-01-01,Athens,Shooting,Shooting,""MORAKIS, Nikolaos"",Men,25M Army Pistol,Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PAINE, John"",Men,25M Army Pistol,Gold,United States,USA,321418820.0,56115.7184261955,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PAINE, Sumner"",Men,25M Army Pistol,Silver,United States,USA,321418820.0,56115.7184261955,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
